given_name,peak_decade,note
建国,1950,founding of the PRC 1949
建华,1950,era name
国庆,1950,era name
解放,1950,era name
和平,1950,era name
援朝,1950,Korean War era
建军,1960,army founding anniversary names
卫东,1960,Cultural Revolution era
卫国,1960,era name
红卫,1960,Cultural Revolution era
文革,1966,Cultural Revolution era
跃进,1958,Great Leap Forward era
秀兰,1950,classic female name of the era
桂英,1950,classic female name of the era
秀英,1950,classic female name of the era
玉兰,1950,classic female name of the era
凤英,1950,classic female name of the era
秀珍,1955,classic female name of the era
玉珍,1955,classic female name of the era
淑芬,1955,classic female name of the era
淑英,1955,classic female name of the era
桂兰,1955,classic female name of the era
志强,1965,classic male name 1960s-70s
志国,1965,classic male name 1960s-70s
建平,1965,classic male name 1960s-70s
建波,1970,classic male name 1970s
军,1965,single-character era name
勇,1968,single-character era name
伟,1972,single-character name 1970s peak
强,1970,single-character name 1970s peak
涛,1975,single-character name 1970s-80s
斌,1975,single-character name 1970s-80s
辉,1975,single-character name 1970s-80s
华,1962,single-character name 1960s peak
明,1965,single-character name 1960s-70s
平,1965,single-character name 1960s-70s
红,1966,single-character female name
梅,1968,single-character female name
艳,1972,single-character female name
娟,1972,single-character female name
芳,1970,single-character female name
丽,1972,single-character female name
燕,1974,single-character female name
霞,1970,single-character female name
萍,1970,single-character female name 1970s
磊,1982,single-character name 1980s peak
静,1984,single-character female name 1980s
敏,1978,single-character female name late 1970s
杰,1982,single-character name 1980s
娜,1982,single-character female name 1980s
婷,1986,single-character female name 1980s-90s
超,1984,single-character name 1980s
鹏,1984,single-character name 1980s
雪,1986,single-character female name
帅,1990,single-character name 1990s
浩,1992,single-character name 1990s
宇,1994,single-character name 1990s
雪梅,1975,female name 1970s-80s
晓东,1970,male name 1970s
晓明,1972,male name 1970s
春华,1958,name of the era
国强,1962,era name
爱国,1955,era name
子轩,2005,2000s generation name
浩然,2003,2000s generation name
梓涵,2008,2000s generation name
欣怡,2004,2000s generation name
雨萱,2006,2000s generation name
俊杰,1988,male name late 1980s
文静,1985,female name 1980s
丹,1984,single-character female name 1980s
